captured_at_utc	automation_id	name	status	sha256	disposition
2026-07-13T04:45:28Z	codex-release-checkpoint-curator	Radar Release Curator	PAUSED	cc54b06e27239845e2535dcbc2dc3e1795b74dcd826e0a9b4eb69b8889cf3c94	radar-or-codex-auxiliary-preserve
2026-07-13T04:45:28Z	codex-thread-archive-audit	Codex Thread Archive Audit	PAUSED	119d41c507fffcb6bcaf5692346f9c53a27fb1a87a0458a261966f08aadfaf6a	radar-or-codex-auxiliary-preserve
2026-07-13T04:45:28Z	codex-upstream-radar-review	Radar Upstream Review	PAUSED	3c3b146fabf9b6a0b17691c5c80b94bf5209ec8fbd604d694881ef9e31abbc1a	radar-or-codex-auxiliary-preserve
2026-07-13T04:45:28Z	decodex-automation-daily-effectiveness-review	Decodex Daily Automation Effectiveness Review	PAUSED	c05098c513788abfe21fdd5f6cddeee9261dc9bb9ee0f23073bcc9f1058bbbe4	explicit-vnext-adoption-required-preserve
2026-07-13T04:45:28Z	decodex-automation-health-audit	Decodex Automation Evaluator	PAUSED	a750e8b5b5ad090d32738155b1c0560c57062c136d7e5dee1ac4a2dccd3280ee	explicit-vnext-adoption-required-preserve
2026-07-13T04:45:28Z	decodex-automation-manager	Decodex Automation Manager	PAUSED	7a02e38e7b17c23ab54fd590f62d5732f75b5126508774e8a12c2653f1663ee0	obsolete-v0.2-manager-frozen
2026-07-13T04:45:28Z	decodex-automation-weekly-growth-review	Decodex Weekly Growth Review	PAUSED	09a890ec5a3332abf2f4019e39573693af947742614fcb4eff0d60d03087c638	explicit-vnext-adoption-required-preserve
2026-07-13T04:45:28Z	decodex-x-publisher	Decodex X Publisher	PAUSED	3bdaef5db2d83f1203f6d81bbe6989a1a9d4d58d75cb07674e55abc18a4308f6	explicit-vnext-adoption-required-preserve
2026-07-13T04:45:28Z	dexter-pattern-radar-c3d9119ca3b6	Dexter Pattern Radar	PAUSED	5683827c99171a5b99a92a7e6dd647550a1a1911d3ca1d99306f26a2cc39ba0b	unrelated-preserve
2026-07-13T04:45:28Z	dexter-pattern-radar	Dexter Pattern Radar	PAUSED	9bc090d564c2a1d65c735d1d7ddde3873452b6f8a11a8feca78d60d063083b15	unrelated-preserve
2026-07-13T04:45:28Z	pub-1242-readback-follow-up	PubFi SEO/GEO autonomous takeover follow-up	PAUSED	383e1ebe8a627e93f6208eac774af1b0ec65aabf28695ffbb978c17781a25936	unrelated-pubfi-preserve
2026-07-13T04:45:28Z	pubfi-automation-health-loop	PubFi Automation Health Audit	PAUSED	8f748556566e64b303e5ae3e1cd8ee048bbd905f5540e1b196856cff24d44a31	unrelated-pubfi-preserve
2026-07-13T04:45:28Z	pubfi-docs-auto-maintainer	PubFi Docs Auto Maintainer	PAUSED	b764f92c0531e6df33a7ffcefef9b2c80e49561b36698c6164db7b1d364bbc58	unrelated-pubfi-preserve
2026-07-13T04:45:28Z	pubfi-gateway-auto-integration-growth	PubFi Gateway Auto-Integration Growth	PAUSED	63dadbe87a67196fc332de017fe258311a0bf65ba55efade43de15e80bc8c524	unrelated-pubfi-preserve
2026-07-13T04:45:28Z	pubfi-mono-codex-ci	PubFi Local Repo Check Observer	PAUSED	b3fc700c0a8e9cf55c3240151a8626b18d5ca784ea97386f94a7b6a5509dfa64	unrelated-pubfi-preserve
2026-07-13T04:45:28Z	pubfi-mono-seo-geo-content-briefs	PubFi SEO/GEO Brief Builder	PAUSED	c1fc273681d9c966530a46cad30a07357fdb0d172945d11ab85787dfb45f0ed3	unrelated-pubfi-preserve
2026-07-13T04:45:28Z	pubfi-mono-seo-geo-eval-learning	PubFi SEO/GEO Learning Loop	PAUSED	b4ef77b7f118a8a845c23ae39ba677c4c5a0b658cc8033cb30bd2ce987e6c3e2	unrelated-pubfi-preserve
2026-07-13T04:45:28Z	pubfi-mono-seo-geo-experiments	PubFi SEO/GEO Experiment Planner	PAUSED	d10332cff2f42c7d0a94a81525973b6316488516bc98c627810f5c18ff2d63b4	unrelated-pubfi-preserve
2026-07-13T04:45:28Z	pubfi-mono-seo-geo-issue-outbox	PubFi SEO/GEO Action Outbox	PAUSED	31c9881b5174aaf775650d07bf785981278378b2cd33a811062a07ee18c60f1c	unrelated-pubfi-preserve
2026-07-13T04:45:28Z	pubfi-mono-source-freshness	PubFi Source Freshness Monitor	PAUSED	99b892ceb6ed03f380f7890e1a25db9d162993b122ed3aed522282c07a9b26d6	unrelated-pubfi-preserve
2026-07-13T04:45:28Z	pubfi-seo-geo-blind-ai-search-sampler	PubFi SEO/GEO Blind AI Search Sampler	PAUSED	42a5e490cd34250f7619da1710a2e10161240120f599745bffac9bd27fa5df5d	unrelated-pubfi-preserve
2026-07-13T04:45:28Z	pubfi-seo-geo-daily-measurement-readback	PubFi SEO/GEO Evidence Intake	PAUSED	063ea038869a54f423fbeb450e17eae2a8c4d9357a218cf0a0d099a6bb0d2cc4	unrelated-pubfi-preserve
2026-07-13T04:45:28Z	pubfi-seo-geo-full-autonomy-loop	PubFi SEO/GEO Full Autonomy Loop	PAUSED	18f47221aa4c8cc919e3833a9b8712cc2152b2a9972b68681621b91261abe30d	unrelated-pubfi-preserve
2026-07-13T04:45:28Z	pubfi-seo-geo-triage	PubFi SEO/GEO Triage	PAUSED	75e83d79e47afe4a156be363f1b15adfe873f2d36e2c367308ff2858a6bdc4f8	unrelated-pubfi-preserve
2026-07-13T04:45:28Z	pubfi-seo-geo-unblock-watcher	PubFi SEO/GEO Unblock Watcher	PAUSED	99c2dd32641aaf789a18e7d57d8709ef570f088549483820b815ed831be2adbf	unrelated-pubfi-preserve
2026-07-13T04:45:28Z	radar-artifact-archive	Radar Artifact Retention	PAUSED	a4483e388c40984d68e4a991f0ce4a9ef88cce82904004846b1bbdf0fe61b54b	radar-or-codex-auxiliary-preserve
